#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|             random_data_rnd.bin|  3.92e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.39933680|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.57729793|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.81434065|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.01804607|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.00023122|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.70550556|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.95879846|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.94092515|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.53078509|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.36276103|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.73882813|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.04808051|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.56513492|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.66163071|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.08846059|  PASSED  
             dab_dct| 256|     50000|       1|0.69425297|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.49663131|  PASSED  
        dab_filltree|  32|  15000000|       1|0.69625281|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.12008071|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.98183691|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.73436655|  PASSED  
